"ACCENUMB"	"bio_15"	"bio_4"	"bio_3"	"bio_5"	"bio_6"	"bio_12"	"bio_16"	"bio_18"	"bio_19"	"bio_17"	"bio_13"	"bio_14"	"bio_2"	"bio_7"	"bio_1"	"bio_8"	"bio_10"	"bio_11"	"bio_9"
"1893746652"	115.519996643066	2252.080078125	65.8000030517578	300.440002441406	90.9599990844727	1250.28002929688	888.559997558594	808.840026855469	65.3199996948242	14.4399995803833	329.160003662109	2.59999990463257	138.839996337891	209.479995727539	203.800003051758	227.240005493164	228.600006103516	173.600006103516	185.399993896484
"1893746653"	112.400001525879	740.919982910156	79.8399963378906	351.600006103516	211.440002441406	965.840026855469	611.080017089844	400.600006103516	14.8400001525879	6.51999998092651	255.039993286133	0.119999997317791	112.360000610352	140.160003662109	284.880004882812	289.640014648438	293.119995117188	274.519989013672	279.519989013672
"1893746654"	69.6399993896484	1761.43994140625	67.0800018310547	318.480010986328	146.440002441406	1131.64001464844	528.47998046875	283.160003662109	117.040000915527	69.4800033569336	200.919998168945	19.6399993896484	116.279998779297	172.039993286133	233.199996948242	245.520004272461	251.520004272461	208.119995117188	231.600006103516
"1893746655"	84.5599975585938	2895.19995117188	61.439998626709	319.119995117188	82.4000015258789	1221.76000976562	640	447.440002441406	73.7600021362305	64.8399963378906	294	19.2800006866455	146.520004272461	236.720001220703	204.800003051758	226.279998779297	235.080001831055	164.160003662109	177.240005493164
"1893746656"	79.7200012207031	2263.1201171875	65.2399978637695	265.480010986328	41.0400009155273	973.440002441406	505.079986572266	258.480010986328	69.5999984741211	59.0800018310547	203.320007324219	15.8800001144409	147.759994506836	224.440002441406	152.559997558594	166.160003662109	178.199996948242	121.23999786377	121.639999389648
"1893746658"	63.7999992370605	2147.71997070312	57.9199981689453	261.720001220703	98.4000015258789	1608.0400390625	719.799987792969	425.320007324219	176.039993286133	168.720001220703	306.559997558594	54.1199989318848	95.1999969482422	163.320007324219	181.160003662109	196.240005493164	203.919998168945	150.839996337891	156.479995727539
"1893746659"	61.4799995422363	3289.23999023438	56.5999984741211	335	112.720001220703	1550.40002441406	683.200012207031	566.559997558594	174.119995117188	171.720001220703	291.480010986328	51.6399993896484	126.839996337891	222.279998779297	231.320007324219	258.720001220703	264.760009765625	183	191.479995727539
"1893746661"	69.1999969482422	2064.36010742188	61.7200012207031	245.119995117188	58.5200004577637	1490.0400390625	688.320007324219	339.040008544922	204.479995727539	123.720001220703	324.160003662109	39.4799995422363	116.23999786377	186.600006103516	152.919998168945	158.880004882812	177.199996948242	124.120002746582	136.160003662109
"1893746662"	89.1600036621094	3026.63989257812	61.0400009155273	332.920013427734	87.3600006103516	935.760009765625	505.320007324219	326.480010986328	47.3199996948242	37.2000007629395	220.279998779297	10.8800001144409	150.880004882812	245.559997558594	214.320007324219	236.039993286133	246.160003662109	171.960006713867	186.720001220703
"1893746664"	100.120002746582	3520.9599609375	56.1599998474121	353.279998779297	100.800003051758	817.880004882812	476.880004882812	213.759994506836	44.6800003051758	32.6800003051758	227.360000610352	9.31999969482422	142.919998168945	252.479995727539	231.800003051758	257	268.519989013672	182.399993896484	188.399993896484
