"ACCENUMB"	"t_awc1"	"t_awc2"	"t_awc3"	"t_soilwater_cap"	"t_bulk_dens"	"t_cecsol"	"t_clay_cont"	"t_coarse_frag"	"depth_rock"	"t_oc_cont"	"t_oc_dens"	"t_oc_stock"	"r_horizon"	"t_sand_cont"	"t_awcts"	"t_silt_cont"	"sodicity"	"t_ph_hox"	"t_ph_kcl"
"1897572777"	11.7250003814697	9.10000038146973	7.30000019073486	24.0249996185303	1461.02502441406	13.4750003814697	41.6749992370605	27.6499996185303	138	12.1750001907349	94.5999984741211	112	59	37	42.2750015258789	21.6749992370605	0	62.5999984741211	53.625
"1897572796"	11.3000001907349	8.75	7.09999990463257	24	1471.94995117188	13.5249996185303	40.875	25.3250007629395	132	10.3249998092651	98.4250030517578	106	59	36.4500007629395	41.8250007629395	22.3250007629395	0	62.5999984741211	53.9749984741211
"1897572802"	12.625	9.75	7.77500009536743	25.375	1328.69995117188	22.5249996185303	34.0250015258789	16.9750003814697	139	19.6000003814697	232.25	217	41	40.0750007629395	45.5499992370605	25.8999996185303	0	51.3499984741211	46.375
"1897572803"	11.8249998092651	8.75	7.30000019073486	23.0249996185303	1474.57495117188	13.6999998092651	39.5250015258789	26.5249996185303	122	11.375	96.1500015258789	105	61	38.6500015258789	41.9749984741211	22.4500007629395	0	63.0250015258789	56.7999992370605
"1897572809"	11.5249996185303	8.52499961853027	7.125	23.1749992370605	1486.32495117188	13.2250003814697	40.75	29.875	129	10.6750001907349	95.0500030517578	101	60	37.4249992370605	41.625	22.3250007629395	0	64.5749969482422	58.0499992370605
"1897572813"	11.5249996185303	8.52499961853027	7.125	23.1749992370605	1486.32495117188	13.2250003814697	40.75	29.875	129	10.6750001907349	95.0500030517578	101	60	37.4249992370605	41.625	22.3250007629395	0	64.5749969482422	58.0499992370605
"1897572818"	11.3000001907349	8.75	7.09999990463257	23.5750007629395	1461.75	13.125	40.4500007629395	23.3250007629395	145	12	97	112	56	38.0750007629395	42	21.4500007629395	0	61.375	52.0750007629395
"1897572830"	11.5249996185303	8.52499961853027	7.125	23.1749992370605	1486.32495117188	13.2250003814697	40.75	29.875	129	10.6750001907349	95.0500030517578	101	60	37.4249992370605	41.625	22.3250007629395	0	64.5749969482422	58.0499992370605
"1897572834"	11.9750003814697	9.55000019073486	7.75	25.2250003814697	1391.55004882812	18.2250003814697	39.875	15.9750003814697	180	16.2749996185303	150.050003051758	168	37	35.4500007629395	44.2999992370605	25.1000003814697	0	58.7999992370605	47.6500015258789
"19774"	10.9750003814697	8.52499961853027	6.75	26.7999992370605	1421	23.4500007629395	40.75	27.7749996185303	150	16.7999992370605	134.475006103516	152	45	34	44.0750007629395	25.4500007629395	0	60.5750007629395	52.4749984741211
"1979"	11.9750003814697	9.55000019073486	7.75	25.2250003814697	1391.55004882812	18.2250003814697	39.875	15.9750003814697	180	16.2749996185303	150.050003051758	168	37	35.4500007629395	44.2999992370605	25.1000003814697	0	58.7999992370605	47.6500015258789
"1988706214"	12.2250003814697	9.35000038146973	7.77500009536743	29.2250003814697	1302.40002441406	38.0999984741211	42.125	11.1000003814697	109	38.9749984741211	292.299987792969	314	64	37.4000015258789	48.25	20.4500007629395	0	72.9250030517578	50.8250007629395
"1989136270"	12.2250003814697	9.35000038146973	7.77500009536743	29.2250003814697	1302.40002441406	38.0999984741211	42.125	11.1000003814697	109	38.9749984741211	292.299987792969	314	64	37.4000015258789	48.25	20.4500007629395	0	72.9250030517578	50.8250007629395
"2_new"	10.9750003814697	8.55000019073486	6.75	27	1401.34997558594	25.4249992370605	42.9000015258789	34.9000015258789	109	15.1750001907349	148.350006103516	127	68	35.4749984741211	44.9749984741211	21.7749996185303	0	64.125	51.625
"2005-1618"	11.5500001907349	8.75	7.09999990463257	23.8250007629395	1465.55004882812	15.9499998092651	42.5250015258789	15.7749996185303	155	14.6499996185303	87.4499969482422	133	43	38.2999992370605	42.5750007629395	19.6000003814697	0	68.6750030517578	60.0999984741211
"20338"	10.5500001907349	7.90000009536743	6.67500019073486	25.8250007629395	1447.90002441406	19.4750003814697	41.75	19.875	112	13.4750003814697	130.149993896484	123	72	35.25	42.6500015258789	23.4500007629395	0	57.0750007629395	46.2750015258789
"2136"	13.3500003814697	10.4499998092651	8.44999980926514	24.0249996185303	1338.02502441406	19.3250007629395	33.5750007629395	16.625	199	16.7999992370605	192.899993896484	187	27	40.8499984741211	45.5750007629395	26.2250003814697	0	56.5	48.0999984741211
"2156"	11.9750003814697	9.32499980926514	7.52500009536743	24.125	1420.77502441406	17.1000003814697	37.7999992370605	19.2999992370605	165	17.6000003814697	147.75	172	42	38.4000015258789	43.0750007629395	24.1000003814697	0	59.5499992370605	48.6500015258789
"219"	12	9	7.44999980926514	25.0249996185303	1392.875	22.625	35.4249992370605	11.2250003814697	171	15.1000003814697	155.199996948242	167	38	41.8499984741211	44.125	22.7999992370605	0	58.4749984741211	47.5250015258789
"21945bis"	10.875	8.57499980926514	6.77500009536743	27	1390.125	29.7749996185303	39.4500007629395	11.3249998092651	140	13.125	152.199996948242	147	53	39.0499992370605	44.9000015258789	21.7000007629395	0	61.7750015258789	49.2999992370605
"21948"	10.875	8.57499980926514	6.77500009536743	27	1390.125	29.7749996185303	39.4500007629395	11.3249998092651	140	13.125	152.199996948242	147	53	39.0499992370605	44.9000015258789	21.7000007629395	0	61.7750015258789	49.2999992370605
"22109"	10.8999996185303	8.57499980926514	6.77500009536743	26	1401.40002441406	27.125	37.5499992370605	8.875	163	12.125	146.675003051758	139	45	42.6749992370605	43.6500015258789	20	0	59.6500015258789	47.0750007629395
"2236"	12.2250003814697	9.44999980926514	7.77500009536743	26.5750007629395	1352.05004882812	27.8999996185303	35.9000015258789	9.75	143	19.7999992370605	186.225006103516	209	44	39.875	45.4249992370605	24.7000007629395	0	59.0250015258789	46.0750007629395
